s_m,longitude,latitude,x_local_m,y_local_m,elevation_m,slope_deg,valley_width_m
24100.000000,85.462587,28.335000,8313.880723,6110.651200,2720.749454,4.995164,486.957720
24200.000000,85.461567,28.335000,8213.880723,6110.651200,2711.793449,5.312897,482.625366
24300.000000,85.460546,28.335000,8113.880723,6110.651200,2702.150608,5.611805,479.281195
24400.000000,85.459526,28.335000,8013.880723,6110.651200,2692.141674,5.565846,477.690781
24500.000000,85.458506,28.335000,7913.880723,6110.651200,2682.660796,5.216900,478.098221
24600.000000,85.457486,28.335000,7813.880723,6110.651200,2673.880765,5.280102,479.970997
24700.000000,85.456466,28.335000,7713.880723,6110.651200,2664.177412,5.749077,482.030992
24800.000000,85.455446,28.335000,7613.880723,6110.651200,2653.745078,6.119576,482.525991
24900.000000,85.454426,28.335000,7513.880723,6110.651200,2642.734460,6.794721,479.643802
25000.000000,85.453406,28.335000,7413.880723,6110.651200,2629.915210,7.779251,471.922867
25100.000000,85.452386,28.335000,7313.880723,6110.651200,2615.411650,8.610930,458.625579
25200.000000,85.451366,28.335000,7213.880723,6110.651200,2599.629028,9.138239,439.969799
25300.000000,85.450346,28.335000,7113.880723,6110.651200,2583.239923,9.443637,417.200730
25400.000000,85.449326,28.335000,7013.880723,6110.651200,2566.362725,9.590570,392.524936
25500.000000,85.448306,28.335000,6913.880723,6110.651200,2549.446313,9.559494,368.894420
25600.000000,85.447286,28.335000,6813.880723,6110.651200,2532.680679,9.239338,349.626833
25700.000000,85.446266,28.335000,6713.880723,6110.651200,2516.912448,8.753364,337.747545
25800.000000,85.445246,28.335000,6613.880723,6110.651200,2501.885713,8.232080,335.085981
25900.000000,85.444226,28.335000,6513.880723,6110.651200,2487.977691,7.728284,341.415418
26000.000000,85.443205,28.335000,6413.880723,6110.651200,2474.744109,7.434927,354.159212
26100.000000,85.442185,28.335000,6313.880723,6110.651200,2461.878242,7.194704,369.048669
26200.000000,85.441165,28.335000,6213.880723,6110.651200,2449.497016,6.905642,381.607733
26300.000000,85.440145,28.335000,6113.880723,6110.651200,2437.655599,6.606604,388.761561
26400.000000,85.439125,28.335000,6013.880723,6110.651200,2426.332865,6.359367,389.746926
26500.000000,85.438105,28.335000,5913.880723,6110.651200,2415.365613,6.172314,385.960418
26600.000000,85.437225,28.334725,5827.567143,6080.219903,2404.703690,5.989932,379.992127
26700.000000,85.436488,28.334167,5755.310025,6018.534533,2394.380298,5.794128,374.466499
26800.000000,85.435591,28.333924,5667.375152,5991.708128,2384.409139,5.601872,371.181391
26900.000000,85.434914,28.333247,5601.023641,5916.891840,2374.763530,5.424721,370.723750
27000.000000,85.434237,28.332570,5534.672130,5842.075552,2365.416507,5.297877,372.481652
27100.000000,85.433560,28.331894,5468.320618,5767.259264,2356.217566,5.147368,374.982424
27200.000000,85.432655,28.331667,5379.597932,5742.184533,2347.400307,4.943750,376.443141
27300.000000,85.431646,28.331646,5280.639659,5739.868288,2338.917670,4.555041,375.421044
27400.000000,85.430969,28.330969,5214.288148,5665.052000,2331.466633,3.876276,371.312784
27500.000000,85.430018,28.330833,5121.027235,5650.067867,2325.366232,3.415009,364.529406
27600.000000,85.428998,28.330833,5021.027235,5650.067867,2319.531867,3.338615,356.243251
27700.000000,85.428097,28.330597,4932.766710,5623.965538,2313.699060,3.508087,347.913048
27800.000000,85.427380,28.330000,4862.456537,5557.951200,2307.271009,3.739335,340.778208
27900.000000,85.426360,28.330000,4762.456537,5557.951200,2300.627753,3.647108,335.508359
28000.000000,85.425340,28.330000,4662.456537,5557.951200,2294.522979,3.295383,332.092456
28100.000000,85.424320,28.330000,4562.456537,5557.951200,2289.111997,2.865972,329.942440
28200.000000,85.423300,28.330000,4462.456537,5557.951200,2284.510499,2.487427,328.188823
28300.000000,85.422354,28.329854,4369.723833,5541.792612,2280.423780,2.353658,326.011391
28400.000000,85.421677,28.329177,4303.372321,5466.976324,2276.290057,2.374288,322.904766
28500.000000,85.420720,28.329053,4209.531842,5453.280837,2272.131205,2.401115,318.790278
28600.000000,85.420043,28.328376,4143.180330,5378.464549,2267.903675,2.379813,313.958436
28700.000000,85.419045,28.328333,4045.315142,5373.717867,2263.819309,2.416127,308.906043
28800.000000,85.418128,28.328128,3955.499371,5351.073573,2259.464798,2.362388,304.155663
28900.000000,85.417427,28.327500,3886.744444,5281.601200,2255.568344,2.150228,300.124540
29000.000000,85.416407,28.327500,3786.744444,5281.601200,2251.955561,1.924950,297.102310
29100.000000,85.415537,28.327204,3701.466901,5248.866310,2248.846471,1.548072,295.331337
29200.000000,85.414860,28.326527,3635.115390,5174.050022,2246.550456,1.072406,295.090229
29300.000000,85.414184,28.325850,3568.763879,5099.233734,2245.102631,0.681792,296.652111
29400.000000,85.413507,28.325173,3502.412367,5024.417446,2244.170441,0.534019,300.072475
29500.000000,85.413333,28.324327,3485.414606,4930.868945,2243.238497,0.625491,304.954724
29600.000000,85.413333,28.323422,3485.414606,4830.868945,2241.986980,0.913573,310.398655
29700.000000,85.413333,28.322518,3485.414606,4730.868945,2240.049255,1.319579,315.285826
29800.000000,85.413293,28.321627,3481.489524,4632.358710,2237.379965,1.663992,318.759054
29900.000000,85.412616,28.320950,3415.138013,4557.542422,2234.239192,1.884446,320.668699
30000.000000,85.412500,28.320084,3403.720095,4461.876092,2230.799636,1.989009,321.658933
30100.000000,85.412500,28.319180,3403.720095,4361.876092,2227.293452,2.013909,322.912843
30200.000000,85.412500,28.318275,3403.720095,4261.876092,2223.766872,2.120509,325.678674
30300.000000,85.412500,28.317370,3403.720095,4161.876092,2219.888097,2.265913,330.805717
30400.000000,85.412500,28.316466,3403.720095,4061.876092,2215.853217,2.383511,338.490736
30500.000000,85.412500,28.315561,3403.720095,3961.876092,2211.563273,2.607220,348.266402
30600.000000,85.412500,28.314656,3403.720095,3861.876092,2206.746014,2.678150,359.190977
30700.000000,85.412500,28.313752,3403.720095,3761.876092,2202.207952,2.541545,370.084290
30800.000000,85.412500,28.312847,3403.720095,3661.876092,2197.868526,2.393299,379.701896
30900.000000,85.412500,28.311943,3403.720095,3561.876092,2193.848899,2.405033,386.789967
31000.000000,85.412500,28.311038,3403.720095,3461.876092,2189.468441,2.541504,390.151329
